state,total_population,year
Alabama,4448075,2004
Alaska,658002,2004
Arizona,5806266,2004
Arkansas,2694665,2004
California,35340566,2004
Colorado,4540639,2004
Connecticut,3365768,2004
Delaware,825598,2004
District of Columbia,508572,2004
Florida,17363653,2004
Georgia,8811648,2004
Hawaii,1258528,2004
Idaho,1408650,2004
Illinois,12441864,2004
Indiana,6081212,2004
Iowa,2848266,2004
Kansas,2669699,2004
Kentucky,4065635,2004
Louisiana,4387181,2004
Maine,1282474,2004
Maryland,5453441,2004
Massachusetts,6200944,2004
Michigan,9857477,2004
Minnesota,4969152,2004
Mississippi,2830388,2004
Missouri,5632603,2004
Montana,897367,2004
Nebraska,1706343,2004
Nevada,2376017,2004
New Hampshire,1271897,2004
New Jersey,8524868,2004
New Mexico,1886789,2004
New York,18679211,2004
North Carolina,8397785,2004
North Dakota,621063,2004
Ohio,11146050,2004
Oklahoma,3429974,2004
Oregon,3560922,2004
Pennsylvania,11948862,2004
Rhode Island,1033284,2004
South Carolina,4127391,2004
South Dakota,755152,2004
Tennessee,5816359,2004
Texas,22250152,2004
Utah,2452149,2004
Vermont,609857,2004
Virginia,7320848,2004
Washington,6157786,2004
West Virginia,1781817,2004
Wisconsin,5401740,2004
Wyoming,494170,2004
Alabama,4414559,2005
Alaska,635963,2005
Arizona,5638345,2005
Arkansas,2668372,2005
California,35057375,2005
Colorado,4498611,2005
Connecticut,3389483,2005
Delaware,805421,2005
District of Columbia,518074,2005
Florida,16957665,2005
Georgia,8580307,2005
Hawaii,1227008,2005
Idaho,1360152,2005
Illinois,12368348,2005
Indiana,6058172,2005
Iowa,2849976,2005
Kansas,2653454,2005
Kentucky,4031134,2005
Louisiana,4383224,2005
Maine,1278725,2005
Maryland,5424648,2005
Massachusetts,6193986,2005
Michigan,9858908,2005
Minnesota,4958748,2005
Mississippi,2807064,2005
Missouri,5587906,2005
Montana,903109,2005
Nebraska,1708711,2005
Nevada,2301197,2005
New Hampshire,1261970,2005
New Jersey,8503294,2005
New Mexico,1855776,2005
New York,18661943,2005
North Carolina,8270028,2005
North Dakota,609691,2005
Ohio,11172251,2005
Oklahoma,3412202,2005
Oregon,3506284,2005
Pennsylvania,11971696,2005
Rhode Island,1037002,2005
South Carolina,4059838,2005
South Dakota,741480,2005
Tennessee,5743167,2005
Texas,21890579,2005
Utah,2349472,2005
Vermont,600632,2005
Virginia,7219758,2005
Washington,6071325,2005
West Virginia,1771784,2005
Wisconsin,5353642,2005
Wyoming,492534,2005
Alabama,4599030,2006
Alaska,670053,2006
Arizona,6166318,2006
Arkansas,2810872,2006
California,36457549,2006
Colorado,4753377,2006
Connecticut,3504809,2006
Delaware,853476,2006
District of Columbia,581530,2006
Florida,18089889,2006
Georgia,9363941,2006
Hawaii,1285498,2006
Idaho,1466465,2006
Illinois,12831970,2006
Indiana,6313520,2006
Iowa,2982085,2006
Kansas,2764075,2006
Kentucky,4206074,2006
Louisiana,4287768,2006
Maine,1321574,2006
Maryland,5615727,2006
Massachusetts,6437193,2006
Michigan,10095643,2006
Minnesota,5167101,2006
Mississippi,2910540,2006
Missouri,5842713,2006
Montana,944632,2006
Nebraska,1768331,2006
Nevada,2495529,2006
New Hampshire,1314895,2006
New Jersey,8724560,2006
New Mexico,1954599,2006
New York,19306183,2006
North Carolina,8856505,2006
North Dakota,635867,2006
Ohio,11478006,2006
Oklahoma,3579212,2006
Oregon,3700758,2006
Pennsylvania,12440621,2006
Rhode Island,1067610,2006
South Carolina,4321249,2006
South Dakota,781919,2006
Tennessee,6038803,2006
Texas,23507783,2006
Utah,2550063,2006
Vermont,623908,2006
Virginia,7642884,2006
Washington,6395798,2006
West Virginia,1818470,2006
Wisconsin,5556506,2006
Wyoming,515004,2006
Alabama,4627851,2007
Alaska,683478,2007
Arizona,6338755,2007
Arkansas,2834797,2007
California,36553215,2007
Colorado,4861515,2007
Connecticut,3502309,2007
Delaware,864764,2007
District of Columbia,588292,2007
Florida,18251243,2007
Georgia,9544750,2007
Hawaii,1283388,2007
Idaho,1499402,2007
Illinois,12852548,2007
Indiana,6345289,2007
Iowa,2988047,2007
Kansas,2775997,2007
Kentucky,4241474,2007
Louisiana,4293204,2007
Maine,1317207,2007
Maryland,5618344,2007
Massachusetts,6449755,2007
Michigan,10071822,2007
Minnesota,5197621,2007
Mississippi,2918785,2007
Missouri,5878415,2007
Montana,957861,2007
Nebraska,1774571,2007
Nevada,2565382,2007
New Hampshire,1315828,2007
New Jersey,8685920,2007
New Mexico,1969915,2007
New York,19297729,2007
North Carolina,9061032,2007
North Dakota,639715,2007
Ohio,11466917,2007
Oklahoma,3617316,2007
Oregon,3747455,2007
Pennsylvania,12432792,2007
Rhode Island,1057832,2007
South Carolina,4407709,2007
South Dakota,796215,2007
Tennessee,6156719,2007
Texas,23904380,2007
Utah,2645330,2007
Vermont,621254,2007
Virginia,7712091,2007
Washington,6468424,2007
West Virginia,1812035,2007
Wisconsin,5601640,2007
Wyoming,522830,2007
Alabama,4661900,2008
Alaska,686293,2008
Arizona,6500180,2008
Arkansas,2855390,2008
California,36756666,2008
Colorado,4939456,2008
Connecticut,3501252,2008
Delaware,873092,2008
District of Columbia,591833,2008
Florida,18328340,2008
Georgia,9685744,2008
Hawaii,1288198,2008
Idaho,1523816,2008
Illinois,12901564,2008
Indiana,6376792,2008
Iowa,3002557,2008
Kansas,2802134,2008
Kentucky,4269245,2008
Louisiana,4410796,2008
Maine,1316456,2008
Maryland,5633597,2008
Massachusetts,6497967,2008
Michigan,10003422,2008
Minnesota,5220393,2008
Mississippi,2938618,2008
Missouri,5911605,2008
Montana,967440,2008
Nebraska,1783432,2008
Nevada,2600167,2008
New Hampshire,1315809,2008
New Jersey,8682661,2008
New Mexico,1984356,2008
New York,19490297,2008
North Carolina,9222414,2008
North Dakota,641481,2008
Ohio,11485910,2008
Oklahoma,3642361,2008
Oregon,3790060,2008
Pennsylvania,12448279,2008
Rhode Island,1050788,2008
South Carolina,4479800,2008
South Dakota,804194,2008
Tennessee,6214888,2008
Texas,24326974,2008
Utah,2736424,2008
Vermont,621270,2008
Virginia,7769089,2008
Washington,6549224,2008
West Virginia,1814468,2008
Wisconsin,5627968,2008
Wyoming,532668,2008
Alabama,4708708,2009
Alaska,698473,2009
Arizona,6595778,2009
Arkansas,2889450,2009
California,36961664,2009
Colorado,5024748,2009
Connecticut,3518288,2009
Delaware,885122,2009
District of Columbia,599657,2009
Florida,18537969,2009
Georgia,9829211,2009
Hawaii,1295178,2009
Idaho,1545801,2009
Illinois,12910409,2009
Indiana,6423113,2009
Iowa,3007857,2009
Kansas,2818747,2009
Kentucky,4314113,2009
Louisiana,4492076,2009
Maine,1318301,2009
Maryland,5699478,2009
Massachusetts,6593587,2009
Michigan,9969727,2009
Minnesota,5266215,2009
Mississippi,2951996,2009
Missouri,5987580,2009
Montana,974989,2009
Nebraska,1796622,2009
Nevada,2643085,2009
New Hampshire,1324575,2009
New Jersey,8707740,2009
New Mexico,2009671,2009
New York,19541453,2009
North Carolina,9380884,2009
North Dakota,646844,2009
Ohio,11542645,2009
Oklahoma,3687050,2009
Oregon,3825657,2009
Pennsylvania,12604767,2009
Rhode Island,1053209,2009
South Carolina,4561242,2009
South Dakota,812383,2009
Tennessee,6296254,2009
Texas,24782302,2009
Utah,2784572,2009
Vermont,621760,2009
Virginia,7882590,2009
Washington,6664195,2009
West Virginia,1819777,2009
Wisconsin,5654774,2009
Wyoming,544270,2009
Alabama,4785298,2010
Alaska,713985,2010
Arizona,6413737,2010
Arkansas,2921606,2010
California,37349363,2010
Colorado,5049071,2010
Connecticut,3577073,2010
Delaware,899769,2010
District of Columbia,604453,2010
Florida,18843326,2010
Georgia,9712587,2010
Hawaii,1363621,2010
Idaho,1571450,2010
Illinois,12843166,2010
Indiana,6490621,2010
Iowa,3049883,2010
Kansas,2859169,2010
Kentucky,4346266,2010
Louisiana,4544228,2010
Maine,1327567,2010
Maryland,5785982,2010
Massachusetts,6557254,2010
Michigan,9877574,2010
Minnesota,5310584,2010
Mississippi,2970036,2010
Missouri,5996231,2010
Montana,990898,2010
Nebraska,1830429,2010
Nevada,2704642,2010
New Hampshire,1316759,2010
New Jersey,8801624,2010
New Mexico,2065932,2010
New York,19392283,2010
North Carolina,9561558,2010
North Dakota,674499,2010
Ohio,11536182,2010
Oklahoma,3761702,2010
Oregon,3838957,2010
Pennsylvania,12709630,2010
Rhode Island,1052886,2010
South Carolina,4636312,2010
South Dakota,816463,2010
Tennessee,6356897,2010
Texas,25257114,2010
Utah,2776469,2010
Vermont,625960,2010
Virginia,8024617,2010
Washington,6744496,2010
West Virginia,1853973,2010
Wisconsin,5691047,2010
Wyoming,564460,2010
Alabama,4802740,2011
Alaska,722718,2011
Arizona,6482505,2011
Arkansas,2937979,2011
California,37691912,2011
Colorado,5116796,2011
Connecticut,3580709,2011
Delaware,907135,2011
District of Columbia,617996,2011
Florida,19057542,2011
Georgia,9815210,2011
Hawaii,1374810,2011
Idaho,1584985,2011
Illinois,12869259,2011
Indiana,6516922,2011
Iowa,3062309,2011
Kansas,2871238,2011
Kentucky,4369356,2011
Louisiana,4574836,2011
Maine,1328188,2011
Maryland,5828289,2011
Massachusetts,6587536,2011
Michigan,9876187,2011
Minnesota,5344861,2011
Mississippi,2978512,2011
Missouri,6010688,2011
Montana,998199,2011
Nebraska,1842641,2011
Nevada,2723322,2011
New Hampshire,1318194,2011
New Jersey,8821155,2011
New Mexico,2082224,2011
New York,19465197,2011
North Carolina,9656401,2011
North Dakota,683932,2011
Ohio,11544951,2011
Oklahoma,3791508,2011
Oregon,3871859,2011
Pennsylvania,12742886,2011
Rhode Island,1051302,2011
South Carolina,4679230,2011
South Dakota,824082,2011
Tennessee,6403353,2011
Texas,25674681,2011
Utah,2817222,2011
Vermont,626431,2011
Virginia,8096604,2011
Washington,6830038,2011
West Virginia,1855364,2011
Wisconsin,5711767,2011
Wyoming,568158,2011
Alabama,4822023,2012
Alaska,731449,2012
Arizona,6553255,2012
Arkansas,2949131,2012
California,38041430,2012
Colorado,5187582,2012
Connecticut,3590347,2012
Delaware,917092,2012
District of Columbia,632323,2012
Florida,19317568,2012
Georgia,9919945,2012
Hawaii,1392313,2012
Idaho,1595728,2012
Illinois,12875255,2012
Indiana,6537334,2012
Iowa,3074186,2012
Kansas,2885905,2012
Kentucky,4380415,2012
Louisiana,4601893,2012
Maine,1329192,2012
Maryland,5884563,2012
Massachusetts,6646144,2012
Michigan,9883360,2012
Minnesota,5379139,2012
Mississippi,2984926,2012
Missouri,6021988,2012
Montana,1005141,2012
Nebraska,1855525,2012
Nevada,2758931,2012
New Hampshire,1320718,2012
New Jersey,8864590,2012
New Mexico,2085538,2012
New York,19570261,2012
North Carolina,9752073,2012
North Dakota,699628,2012
Ohio,11544225,2012
Oklahoma,3814820,2012
Oregon,3899353,2012
Pennsylvania,12763536,2012
Rhode Island,1050292,2012
South Carolina,4723723,2012
South Dakota,833354,2012
Tennessee,6456243,2012
Texas,26059203,2012
Utah,2855287,2012
Vermont,626011,2012
Virginia,8185867,2012
Washington,6897012,2012
West Virginia,1855413,2012
Wisconsin,5726398,2012
Wyoming,576412,2012
Alabama,4833722,2013
Alaska,735132,2013
Arizona,6626624,2013
Arkansas,2959373,2013
California,38332521,2013
Colorado,5268367,2013
Connecticut,3596080,2013
Delaware,925749,2013
District of Columbia,646449,2013
Florida,19552860,2013
Georgia,9992167,2013
Hawaii,1404054,2013
Idaho,1612136,2013
Illinois,12882135,2013
Indiana,6570902,2013
Iowa,3090416,2013
Kansas,2893957,2013
Kentucky,4395295,2013
Louisiana,4625470,2013
Maine,1328302,2013
Maryland,5928814,2013
Massachusetts,6692824,2013
Michigan,9895622,2013
Minnesota,5420380,2013
Mississippi,2991207,2013
Missouri,6044171,2013
Montana,1015165,2013
Nebraska,1868516,2013
Nevada,2790136,2013
New Hampshire,1323459,2013
New Jersey,8899339,2013
New Mexico,2085287,2013
New York,19651127,2013
North Carolina,9848060,2013
North Dakota,723393,2013
Ohio,11570808,2013
Oklahoma,3850568,2013
Oregon,3930065,2013
Pennsylvania,12773801,2013
Rhode Island,1051511,2013
South Carolina,4774839,2013
South Dakota,844877,2013
Tennessee,6495978,2013
Texas,26448193,2013
Utah,2900872,2013
Vermont,626630,2013
Virginia,8260405,2013
Washington,6971406,2013
West Virginia,1854304,2013
Wisconsin,5742713,2013
Wyoming,582658,2013
Alabama,4849377,2014
Alaska,736732,2014
Arizona,6731484,2014
Arkansas,2966369,2014
California,38802500,2014
Colorado,5355866,2014
Connecticut,3596677,2014
Delaware,935614,2014
District of Columbia,658893,2014
Florida,19893297,2014
Georgia,10097343,2014
Hawaii,1419561,2014
Idaho,1634464,2014
Illinois,12880580,2014
Indiana,6596855,2014
Iowa,3107126,2014
Kansas,2904021,2014
Kentucky,4413457,2014
Louisiana,4649676,2014
Maine,1330089,2014
Maryland,5976407,2014
Massachusetts,6745408,2014
Michigan,9909877,2014
Minnesota,5457173,2014
Mississippi,2994079,2014
Missouri,6063589,2014
Montana,1023579,2014
Nebraska,1881503,2014
Nevada,2839099,2014
New Hampshire,1326813,2014
New Jersey,8938175,2014
New Mexico,2085572,2014
New York,19746227,2014
North Carolina,9943964,2014
North Dakota,739482,2014
Ohio,11594163,2014
Oklahoma,3878051,2014
Oregon,3970239,2014
Pennsylvania,12787209,2014
Rhode Island,1055173,2014
South Carolina,4832482,2014
South Dakota,853175,2014
Tennessee,6549352,2014
Texas,26956958,2014
Utah,2942902,2014
Vermont,626562,2014
Virginia,8326289,2014
Washington,7061530,2014
West Virginia,1850326,2014
Wisconsin,5757564,2014
Wyoming,584153,2014
Alabama,4858979,2015
Alaska,738432,2015
Arizona,6828065,2015
Arkansas,2978204,2015
California,39144818,2015
Colorado,5456574,2015
Connecticut,3590886,2015
Delaware,945934,2015
District of Columbia,672228,2015
Florida,20271272,2015
Georgia,10214860,2015
Hawaii,1431603,2015
Idaho,1654930,2015
Illinois,12859995,2015
Indiana,6619680,2015
Iowa,3123899,2015
Kansas,2911641,2015
Kentucky,4425092,2015
Louisiana,4670724,2015
Maine,1329328,2015
Maryland,6006401,2015
Massachusetts,6794422,2015
Michigan,9922576,2015
Minnesota,5489594,2015
Mississippi,2992333,2015
Missouri,6083672,2015
Montana,1032949,2015
Nebraska,1896190,2015
Nevada,2890845,2015
New Hampshire,1330608,2015
New Jersey,8958013,2015
New Mexico,2085109,2015
New York,19795791,2015
North Carolina,10042802,2015
North Dakota,756928,2015
Ohio,11613423,2015
Oklahoma,3911338,2015
Oregon,4028977,2015
Pennsylvania,12802503,2015
Rhode Island,1056298,2015
South Carolina,4896146,2015
South Dakota,858469,2015
Tennessee,6600299,2015
Texas,27469114,2015
Utah,2995919,2015
Vermont,626042,2015
Virginia,8382993,2015
Washington,7170351,2015
West Virginia,1844128,2015
Wisconsin,5771337,2015
Wyoming,586107,2015
Alabama,4874747,2016
Alaska,739795,2016
Arizona,7016270,2016
Arkansas,3004279,2016
California,39536653,2016
Colorado,5607154,2016
Connecticut,3588184,2016
Delaware,961939,2016
District of Columbia,693972,2016
Florida,20984400,2016
Georgia,10429379,2016
Hawaii,1427538,2016
Idaho,1716943,2016
Illinois,12802023,2016
Indiana,6666818,2016
Iowa,3145711,2016
Kansas,2913123,2016
Kentucky,4454189,2016
Louisiana,4684333,2016
Maine,1335907,2016
Maryland,6052177,2016
Massachusetts,6859819,2016
Michigan,9962311,2016
Minnesota,5576606,2016
Mississippi,2984100,2016
Missouri,6113532,2016
Montana,1050493,2016
Nebraska,1920076,2016
Nevada,2998039,2016
New Hampshire,1342795,2016
New Jersey,9005644,2016
New Mexico,2088070,2016
New York,19849399,2016
North Carolina,10273419,2016
North Dakota,755393,2016
Ohio,11658609,2016
Oklahoma,3930864,2016
Oregon,4142776,2016
Pennsylvania,12805537,2016
Rhode Island,1059639,2016
South Carolina,5024369,2016
South Dakota,869666,2016
Tennessee,6715984,2016
Texas,28304596,2016
Utah,3101833,2016
Vermont,623657,2016
Virginia,8470020,2016
Washington,7405743,2016
West Virginia,1815857,2016
Wisconsin,5795483,2016
Wyoming,579315,2016
Alabama,4874747,2017
Alaska,739795,2017
Arizona,7016270,2017
Arkansas,3004279,2017
California,39536653,2017
Colorado,5607154,2017
Connecticut,3588184,2017
Delaware,961939,2017
District of Columbia,693972,2017
Florida,20984400,2017
Georgia,10429379,2017
Hawaii,1427538,2017
Idaho,1716943,2017
Illinois,12802023,2017
Indiana,6666818,2017
Iowa,3145711,2017
Kansas,2913123,2017
Kentucky,4454189,2017
Louisiana,4684333,2017
Maine,1335907,2017
Maryland,6052177,2017
Massachusetts,6859819,2017
Michigan,9962311,2017
Minnesota,5576606,2017
Mississippi,2984100,2017
Missouri,6113532,2017
Montana,1050493,2017
Nebraska,1920076,2017
Nevada,2998039,2017
New Hampshire,1342795,2017
New Jersey,9005644,2017
New Mexico,2088070,2017
New York,19849399,2017
North Carolina,10273419,2017
North Dakota,755393,2017
Ohio,11658609,2017
Oklahoma,3930864,2017
Oregon,4142776,2017
Pennsylvania,12805537,2017
Rhode Island,1059639,2017
South Carolina,5024369,2017
South Dakota,869666,2017
Tennessee,6715984,2017
Texas,28304596,2017
Utah,3101833,2017
Vermont,623657,2017
Virginia,8470020,2017
Washington,7405743,2017
West Virginia,1815857,2017
Wisconsin,5795483,2017
Wyoming,579315,2017
Alabama,4887871,2018
Alaska,737438,2018
Arizona,7171646,2018
Arkansas,3013825,2018
California,39557045,2018
Colorado,5695564,2018
Connecticut,3572665,2018
Delaware,967171,2018
District of Columbia,702455,2018
Florida,21299325,2018
Georgia,10519475,2018
Hawaii,1420491,2018
Idaho,1754208,2018
Illinois,12741080,2018
Indiana,6691878,2018
Iowa,3156145,2018
Kansas,2911510,2018
Kentucky,4468402,2018
Louisiana,4659978,2018
Maine,1338404,2018
Maryland,6042718,2018
Massachusetts,6902197,2018
Michigan,9995915,2018
Minnesota,5611179,2018
Mississippi,2986530,2018
Missouri,6126452,2018
Montana,1062305,2018
Nebraska,1929268,2018
Nevada,3034392,2018
New Hampshire,1356410,2018
New Jersey,8908520,2018
New Mexico,2095428,2018
New York,19542209,2018
North Carolina,10383620,2018
North Dakota,760077,2018
Ohio,11689442,2018
Oklahoma,3943079,2018
Oregon,4190713,2018
Pennsylvania,12807060,2018
Rhode Island,1057315,2018
South Carolina,5084127,2018
South Dakota,882235,2018
Tennessee,6770010,2018
Texas,28701845,2018
Utah,3161105,2018
Vermont,626299,2018
Virginia,8517685,2018
Washington,7535591,2018
West Virginia,1805832,2018
Wisconsin,5813568,2018
Wyoming,577737,2018
Alabama,4903185,2019
Alaska,731545,2019
Arizona,7278717,2019
Arkansas,3017804,2019
California,39512223,2019
Colorado,5758736,2019
Connecticut,3565287,2019
Delaware,973764,2019
District of Columbia,705749,2019
Florida,21477737,2019
Georgia,10617423,2019
Hawaii,1415872,2019
Idaho,1787065,2019
Illinois,12671821,2019
Indiana,6732219,2019
Iowa,3155070,2019
Kansas,2913314,2019
Kentucky,4467673,2019
Louisiana,4648794,2019
Maine,1344212,2019
Maryland,6045680,2019
Massachusetts,6892503,2019
Michigan,9986857,2019
Minnesota,5639632,2019
Mississippi,2976149,2019
Missouri,6137428,2019
Montana,1068778,2019
Nebraska,1934408,2019
Nevada,3080156,2019
New Hampshire,1359711,2019
New Jersey,8882190,2019
New Mexico,2096829,2019
New York,19453561,2019
North Carolina,10488084,2019
North Dakota,762062,2019
Ohio,11689100,2019
Oklahoma,3956971,2019
Oregon,4217737,2019
Pennsylvania,12801989,2019
Rhode Island,1059361,2019
South Carolina,5148714,2019
South Dakota,884659,2019
Tennessee,6829174,2019
Texas,28995881,2019
Utah,3205958,2019
Vermont,623989,2019
Virginia,8535519,2019
Washington,7614893,2019
West Virginia,1792147,2019
Wisconsin,5822434,2019
Wyoming,578759,2019
